age,gender,year,percentage
20-24,Male,2013,19.12332645
20-24,Male,2014,19.0112163
20-24,Male,2015,17.80812134
20-24,Male,2016,17.23034206
20-24,Male,2017,17.59659198
20-24,Male,2018,17.40669566
25-29,Male,2011,16.81305776
25-29,Male,2012,16.78531221
25-29,Male,2013,16.58270333
25-29,Male,2014,16.23485626
25-29,Male,2015,15.08741371
25-29,Male,2016,14.19884822
25-29,Male,2017,14.25525598
25-29,Male,2018,13.8096722
30-34,Male,2011,13.5264498
30-34,Male,2012,13.92832614
30-34,Male,2013,14.20966847
30-34,Male,2014,14.4126266
30-34,Male,2015,14.26437716
30-34,Male,2016,13.82414787
30-34,Male,2017,14.00588245
30-34,Male,2018,13.44219861
35-39,Male,2011,11.66674859
35-39,Male,2012,12.02991496
35-39,Male,2013,12.53137658
35-39,Male,2014,12.97550238
35-39,Male,2015,13.20771393
35-39,Male,2016,13.14483209
35-39,Male,2017,13.65774859
35-39,Male,2018,13.53111526
40-44,Male,2011,10.74283376
40-44,Male,2012,10.9904908
40-44,Male,2013,11.17647246
40-44,Male,2014,11.35233738
40-44,Male,2015,11.50459177
40-44,Male,2016,11.57470102
40-44,Male,2017,12.0650748
40-44,Male,2018,12.26491207
45-49,Male,2011,10.57478681
45-49,Male,2012,10.43141692
45-49,Male,2013,10.42317237
45-49,Male,2014,10.53590749
45-49,Male,2015,10.75769425
45-49,Male,2016,10.57215585
45-49,Male,2017,10.77862879
45-49,Male,2018,10.59637222
50-54,Male,2011,10.20092629
50-54,Male,2012,10.42005345
50-54,Male,2013,10.59606222
50-54,Male,2014,10.74413312
50-54,Male,2015,10.72199139
50-54,Male,2016,10.37468089
50-54,Male,2017,10.27359446
50-54,Male,2018,9.991318019
55-59,Male,2011,9.220408855
55-59,Male,2012,9.531162961
55-59,Male,2013,9.835666678
55-59,Male,2014,10.05947663
55-59,Male,2015,10.51636221
55-59,Male,2016,10.45269075
55-59,Male,2017,10.75139791
55-59,Male,2018,10.49147903
60-64,Male,2011,8.503445409
60-64,Male,2012,8.849597682
60-64,Male,2013,9.221654895
60-64,Male,2014,9.912698096
60-64,Male,2015,10.48114795
60-64,Male,2016,10.56776908
60-64,Male,2017,10.79278728
60-64,Male,2018,10.66929813
65-69,Male,2011,7.408316732
65-69,Male,2012,7.32983757
65-69,Male,2013,7.06847927
65-69,Male,2014,7.879052386
65-69,Male,2015,8.738922688
65-69,Male,2016,8.815714659
65-69,Male,2017,9.318209226
65-69,Male,2018,9.304956516
70-74,Male,2011,8.516079402
70-74,Male,2012,8.386368655
70-74,Male,2013,7.679069382
70-74,Male,2014,8.603729514
70-74,Male,2015,9.84131834
70-74,Male,2016,9.458800956
70-74,Male,2017,10.01345925
70-74,Male,2018,9.759876631
75-79,Male,2011,9.222033347
75-79,Male,2012,8.600002823
75-79,Male,2013,7.882844735
75-79,Male,2014,9.340407245
75-79,Male,2015,11.17976022
75-79,Male,2016,10.65423812
75-79,Male,2017,10.96318925
75-79,Male,2018,10.30897442
80-,Male,2011,13.73217741
80-,Male,2012,12.52884295
80-,Male,2013,11.38767459
80-,Male,2014,13.75576827
80-,Male,2015,16.18519635
80-,Male,2016,14.31537804
80-,Male,2017,14.32964452
80-,Male,2018,12.78443693
